Month,Scenario_1_12,Scenario_2_12,Scenario_1_52,Scenario_2_52,Scenario_1_BI,Scenario_2_BI
0,34.54,34.54,34.54,34.54,34.54,34.54
3,33.88895697,33.88895697,33.61016607,33.61016607,34.07200227,34.07200227
6,33.3995975,33.3995975,32.8997957,32.8997957,33.7082681,33.7082681
9,33.07192158,33.07192158,32.40888888,32.40888888,33.44879748,33.44879748
12,32.90592923,32.90592923,32.13744563,32.13744563,33.29359043,33.29359043
15,32.90162044,32.90162044,32.08546594,32.08546594,33.24264694,33.24264694
18,33.05899521,33.05899521,32.25294981,32.25294981,33.29596701,33.29596701
21,33.37805354,33.37805354,32.63989724,32.63989724,33.45355064,33.45355064
24,33.85879542,33.85879542,33.24630822,33.24630822,33.71539782,33.71539782
27,34.22490617,34.07010522,33.45761802,33.45761802,34.08150857,34.08150857
30,34.69528048,34.28141502,33.66892782,33.66892782,34.55188288,34.55188288
33,35.26991835,34.49272482,33.88023762,33.88023762,35.12652075,35.12652075
36,35.94881978,34.70403462,34.09154742,34.09154742,35.80542218,35.80542218
39,,34.91534442,34.30285722,34.30285722,,
42,,35.12665422,34.51416702,34.51416702,,
45,,35.33796402,34.72547682,34.72547682,,
48,,35.54927382,34.93678662,34.93678662,,
51,,,35.14809642,35.14809642,,
54,,,35.35940622,35.35940622,,
57,,,35.57071602,35.57071602,,
60,,,35.78202582,35.78202582,,